ICAO,FAA,GHCND
KDEN       ,DEN      ,USW00003017 
KFLG       ,FLG      ,USW00003103 
KAVL       ,AVL      ,USW00003812 
KMCN       ,MCN      ,USW00003813 
KPAH       ,PAH      ,USW00003816 
KAGS       ,AGS      ,USW00003820 
KSAV       ,SAV      ,USW00003822 
KHSV       ,HSV      ,USW00003856 
KHTS       ,HTS      ,USW00003860 
KGSP       ,GSP      ,USW00003870 
KBKW       ,BKW      ,USW00003872 
KJKL       ,JKL      ,USW00003889 
KDFW       ,DFW      ,USW00003927 
KICT       ,ICT      ,USW00003928 
KLCH       ,LCH      ,USW00003937 
KJAN       ,JAN      ,USW00003940 
KCOU       ,COU      ,USW00003945 
KMCI       ,MCI      ,USW00003947 
KLZK       ,LZK      ,USW00003952 
KBGM       ,BGM      ,USW00004725 
KISP       ,ISP      ,USW00004781 
TJSJ       ,SJU      ,RQW00011641 
KMCO       ,MCO      ,USW00012815 
KGNV       ,GNV      ,USW00012816 
KDAB       ,DAB      ,USW00012834 
KFMY       ,FMY      ,USW00012835 
KEYW       ,EYW      ,USW00012836 
KMLB       ,MLB      ,USW00012838 
KMIA       ,MIA      ,USW00012839 
KTPA       ,TPA      ,USW00012842 
KVRB       ,VRB      ,USW00012843 
KPBI       ,PBI      ,USW00012844 
KVCT       ,VCT      ,USW00012912 
KMSY       ,MSY      ,USW00012916 
KBPT       ,BPT      ,USW00012917 
KBRO       ,BRO      ,USW00012919 
KSAT       ,SAT      ,USW00012921 
KCRP       ,CRP      ,USW00012924 
KIAH       ,IAH      ,USW00012960 
KRDU       ,RDU      ,USW00013722 
KGSO       ,GSO      ,USW00013723 
KEKN       ,EKN      ,USW00013729 
KLYH       ,LYH      ,USW00013733 
KORF       ,ORF      ,USW00013737 
KPHL       ,PHL      ,USW00013739 
KRIC       ,RIC      ,USW00013740 
KROA       ,ROA      ,USW00013741 
KDCA       ,DCA      ,USW00013743 
KILM       ,ILM      ,USW00013748 
KILG       ,ILG      ,USW00013781 
KMEI       ,MEI      ,USW00013865 
KCRW       ,CRW      ,USW00013866 
KAHN       ,AHN      ,USW00013873 
KATL       ,ATL      ,USW00013874 
KBHM       ,BHM      ,USW00013876 
KTRI       ,TRI      ,USW00013877 
KCHS       ,CHS      ,USW00013880 
KCLT       ,CLT      ,USW00013881 
KCHA       ,CHA      ,USW00013882 
KCAE       ,CAE      ,USW00013883 
KJAX       ,JAX      ,USW00013889 
KTYS       ,TYS      ,USW00013891 
KMEM       ,MEM      ,USW00013893 
KMOB       ,MOB      ,USW00013894 
KMGM       ,MGM      ,USW00013895 
KBNA       ,BNA      ,USW00013897 
KPNS       ,PNS      ,USW00013899 
KAUS       ,AUS      ,USW00013904 
KSHV       ,SHV      ,USW00013957 
KATT       ,ATT      ,USW00013958 
KACT       ,ACT      ,USW00013959 
KDAL       ,DALT2    ,USW00013960 
KABI       ,ABI      ,USW00013962 
KLIT       ,LIT      ,USW00013963 
KFSM       ,FSM      ,USW00013964 
KSPS       ,SPS      ,USW00013966 
KOKC       ,OKC      ,USW00013967 
KTUL       ,TUL      ,USW00013968 
KBTR       ,BTR      ,USW00013970 
KCNK       ,CNK      ,USW00013984 
KDDC       ,DDC      ,USW00013985 
KSTL       ,STL      ,USW00013994 
KSGF       ,SGF      ,USW00013995 
KTOP       ,TOP      ,USW00013996 
KBGR       ,BGR      ,USW00014606 
KCAR       ,CAR      ,USW00014607 
KMDT       ,MDT      ,USW00014711 
KLGA       ,LGA      ,USW00014732 
KBUF       ,BUF      ,USW00014733 
KEWR       ,EWR      ,USW00014734 
KALB       ,ALB      ,USW00014735 
KABE       ,ABE      ,USW00014737 
KBOS       ,BOS      ,USW00014739 
KBDL       ,BDL      ,USW00014740 
KBTV       ,BTV      ,USW00014742 
KCON       ,CON      ,USW00014745 
KMWN       ,MWN      ,USW00014755 
KPWM       ,PWM      ,USW00014764 
KPVD       ,PVD      ,USW00014765 
KROC       ,ROC      ,USW00014768 
KSYR       ,SYR      ,USW00014771 
KAVP       ,AVP      ,USW00014777 
KIPT       ,IPT      ,USW00014778 
KCLE       ,CLE      ,USW00014820 
KCMH       ,CMH      ,USW00014821 
KFNT       ,FNT      ,USW00014826 
KFWA       ,FWA      ,USW00014827 
KLAN       ,LAN      ,USW00014836 
KMSN       ,MSN      ,USW00014837 
KMKE       ,MKE      ,USW00014839 
KMKG       ,MKG      ,USW00014840 
