IATA,deice_begin,deice_end
ABE,11,3
ABQ,11,2
AVL,12,2
AVP,11,3
BHM,1,1
BIH,11,3
BNA,12,2
BTV,11,3
BUF,11,3
CHA,1,1
CRP,NA,NA
DAY,11,3
EGE,10,5
ERI,12,3
EYW,NA,NA
FAR,11,4
FLG,10,5
FSD,11,3
GRB,11,4
GSP,1,2
HDN,10,4
HHH,NA,NA
HOB,12,2
ILM,NA,NA
ITO,NA,NA
JAC,10,5
JAN,NA,NA
LEX,12,2
LFT,NA,NA
LNK,11,3
MAF,12,1
MDT,12,3
MEM,11,3
MFR,12,2
MKE,11,3
MRY,NA,NA
MTJ,11,3
ONT,NA,NA
ORF,1,1
PIA,11,3
PQI,11,4
PSP,NA,NA
PVD,12,3
PWM,11,3
RIC,12,2
ROC,11,3
SAF,11,4
SAV,NA,NA
SBA,NA,NA
SBN,11,3
SCE,11,3
SDF,12,2
SHV,NA,NA
SRQ,NA,NA
STS,NA,NA
SYR,11,3
TYS,12,2
XNA,12,2
